order_date,orders,revenue,gross_sales,discount,product_cost,profit,quantity,average_order_value,profit_margin,repeat_customer_rate,average_rating,negative_sentiment_rate,payment_failure_rate,delivery_delay_rate,orders_zscore,revenue_zscore,gross_sales_zscore,discount_zscore,product_cost_zscore,profit_zscore,quantity_zscore,average_order_value_zscore,profit_margin_zscore,repeat_customer_rate_zscore,average_rating_zscore,negative_sentiment_rate_zscore,payment_failure_rate_zscore,delivery_delay_rate_zscore,orders_anomaly,revenue_anomaly,gross_sales_anomaly,discount_anomaly,product_cost_anomaly,profit_anomaly,quantity_anomaly,average_order_value_anomaly,profit_margin_anomaly,repeat_customer_rate_anomaly,average_rating_anomaly,negative_sentiment_rate_anomaly,payment_failure_rate_anomaly,delivery_delay_rate_anomaly,total_anomalies,is_anomaly
2021-01-01,65,64116.45,62621.5,5880.32,31418.5,31163.47,301,986.406923076923,48.604484496568354,100.0,3.6035714285714286,1.5384615384615383,4.615384615384616,13.846153846153848,-0.5767914289171562,-1.1904165524295163,-1.002346577133026,-0.6668383751713027,-1.0365813117035652,-1.3394361617245922,-0.7448687731987205,-1.9973783644657872,0.7541122966619692,0.43111273927146027,-1.1100445269645223,1.0390061984834478,-0.9366143248854566,0.4090275459500763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-02,58,64534.76,62266.43,4953.79,31802.94,31473.76,273,1112.668275862069,48.77024412890045,98.27586206896552,3.7229166666666664,0.0,6.896551724137931,13.79310344827586,-0.9563110440936766,-1.1752764150599864,-1.0109410783474135,-0.7179294158603777,-1.0186322737247737,-1.2999956419799965,-0.9134334578390463,-1.1324717829539583,0.7827426049458999,-2.610742114141437,0.7362975399845145,-0.6353605280087982,-0.20890915299253612,0.39539268040003633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-03,63,71680.85,71559.71,7478.54,37461.35,32967.61,296,1137.79126984127,45.992214099023656,100.0,3.678181818181818,0.0,3.1746031746031744,17.46031746031746,-0.6852256046818763,-0.9166338192458245,-0.7859964019578453,-0.5787087700315948,-0.7544479641066992,-1.1101144971784727,-0.7749696097416358,-0.9603760279142648,0.30291615348490236,0.43111273927146027,0.04422273302610901,-0.6353605280087982,-1.3962317295029496,1.3379298148511227,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-04,70,73252.24,73589.85,8356.04,36772.7,35061.09,323,1046.4605714285717,47.86350560747357,100.0,3.6016393442622947,1.4285714285714286,0.0,10.0,-0.3057059895053559,-0.8597595861146415,-0.7368566810707615,-0.5303213587176995,-0.7866001985362453,-0.8440152375345372,-0.612425092409893,-1.5860031133901589,0.6261290613700058,0.43111273927146027,-1.1399350244303654,0.9194085751625732,-2.408948044761831,-0.5795002064277281,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-05,71,93088.8,91887.27,8444.29,47869.32,43550.46,374,1311.1098591549296,46.78378064815531,100.0,3.562962962962963,2.8169014084507045,11.267605633802818,18.30985915492958,-0.2514889016229958,-0.14180342121560338,-0.29396598793937917,-0.5254550464117721,-0.26851245060102685,0.23505648602787593,-0.30539655967215656,0.22687870434586174,0.4396369823745427,0.43111273927146027,-1.738281727910333,2.4303813655685538,1.1854816939034967,1.5562766557519219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-06,57,67772.5,67573.71,7486.24,32896.34,33596.26,308,1188.991228070175,49.57211258253717,100.0,3.7,0.0,8.771929824561402,7.017543859649122,-1.0105281319760366,-1.058091006232034,-0.8824778896660408,-0.5782841739437122,-0.9675827520152472,-1.0302076914888263,-0.7027276020386389,-0.6096496982141091,0.9212427977116668,0.43111273927146027,0.3817630283758521,-0.6353605280087982,0.38934703687455274,-1.3460427793242007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-07,43,54015.93,53686.880000000005,6528.42,28208.87,24967.37,212,1256.1844186046512,46.222234811101096,100.0,3.5763157894736843,0.0,4.651162790697675,9.30232558139535,-1.7695673623290775,-1.5559905532989224,-1.2186098560360359,-0.6311006187353648,-1.186435049004231,-2.1270136034387677,-1.2806636636626134,-0.14936766064604884,0.3426457535438135,0.43111273927146027,-1.5317055318852895,-0.6353605280087982,-0.9252008851964926,-0.7588145429055623,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-08,61,86334.73,86543.43000000001,9640.69,44534.15,40652.0,284,1415.3234426229508,47.0864969404549,100.0,3.692307692307693,0.0,8.19672131147541,8.19672131147541,-0.7936597804465965,-0.386257408936239,-0.423314114701688,-0.4594827399776476,-0.42422749845173285,-0.13336263433991463,-0.8472116174446326,0.9407552171201466,0.4919226966293974,0.43111273927146027,0.26275843706665586,-0.6353605280087982,0.2058522774229867,-1.0429738739360102,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-09,73,98006.46,97355.07,9880.9,48333.89,48149.64,380,1342.5542465753426,49.12904720770447,100.0,3.628333333333333,0.0,5.47945205479452,10.95890410958904,-0.14305472585827567,0.03618431021955507,-0.1616173982527581,-0.44623699630618235,-0.2468222399730821,0.8196517021126712,-0.2692755558206582,0.44227682128036117,0.844715732026692,0.43111273927146027,-0.7269630806549024,-0.6353605280087982,-0.6609719389725283,-0.33304534213627585,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
2021-01-10,60,93755.32,91724.75,7693.79,48825.01,43629.19,302,1562.5886666666668,46.535161951343134,98.33333333333331,3.716666666666667,0.0,10.0,6.666666666666667,-0.8478768683289565,-0.11767967480853936,-0.2978997991241098,-0.5668393793930581,-0.22389244200163264,0.24506374413961712,-0.7388486058901373,1.9495410307805274,0.39669510421797965,-2.5093469523610503,0.6396063095457921,-0.6353605280087982,0.781108348303647,-1.4362242584884914,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
