order_date,zscore_anomaly,isolation_forest_anomaly,both_models_anomaly,zscore_only,isolation_forest_only,final_anomaly_status,confidence,orders,revenue,gross_sales,discount,product_cost,profit,quantity,average_order_value,profit_margin,repeat_customer_rate,average_rating,negative_sentiment_rate,payment_failure_rate,delivery_delay_rate,orders_zscore,revenue_zscore,gross_sales_zscore,discount_zscore,product_cost_zscore,profit_zscore,quantity_zscore,average_order_value_zscore,profit_margin_zscore,repeat_customer_rate_zscore,average_rating_zscore,negative_sentiment_rate_zscore,payment_failure_rate_zscore,delivery_delay_rate_zscore,main_anomaly_causes,revenue_impact,profit_impact,orders_impact,revenue_impact_percentage,profit_impact_percentage,orders_impact_percentage,business_impact
2021-01-01,False,False,False,False,False,Normal,Low,65,64116.45,62621.5,5880.32,31418.5,31163.47,301,986.406923076923,48.604484496568354,100.0,3.6035714285714286,1.5384615384615383,4.615384615384616,13.846153846153848,-0.5767914289171562,-1.1904165524295165,-1.002346577133026,-0.6668383751713027,-1.0365813117035652,-1.3394361617245922,-0.7448687731987205,-1.9973783644657872,0.7541122966619692,0.4311127392714602,-1.1100445269645225,1.0390061984834478,-0.9366143248854566,0.4090275459500763,,0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-02,False,False,False,False,False,Normal,Low,58,64534.76,62266.43,4953.79,31802.94,31473.76,273,1112.668275862069,48.77024412890045,98.27586206896552,3.7229166666666664,0.0,6.896551724137931,13.79310344827586,-0.9563110440936766,-1.1752764150599864,-1.0109410783474135,-0.7179294158603777,-1.0186322737247735,-1.2999956419799965,-0.9134334578390464,-1.1324717829539583,0.7827426049458999,-2.610742114141437,0.7362975399845145,-0.6353605280087982,-0.2089091529925361,0.3953926804000363,repeat_customer_rate (z=-2.61),0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-03,False,False,False,False,False,Normal,Low,63,71680.85,71559.71,7478.54,37461.35,32967.61,296,1137.79126984127,45.992214099023656,100.0,3.678181818181818,0.0,3.1746031746031744,17.46031746031746,-0.6852256046818763,-0.9166338192458244,-0.7859964019578453,-0.5787087700315948,-0.7544479641066992,-1.1101144971784729,-0.7749696097416358,-0.9603760279142648,0.3029161534849023,0.4311127392714602,0.044222733026109,-0.6353605280087982,-1.3962317295029496,1.3379298148511227,,0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-04,False,False,False,False,False,Normal,Low,70,73252.24,73589.85,8356.04,36772.7,35061.09,323,1046.4605714285717,47.86350560747357,100.0,3.6016393442622947,1.4285714285714286,0.0,10.0,-0.3057059895053559,-0.8597595861146415,-0.7368566810707615,-0.5303213587176995,-0.7866001985362453,-0.8440152375345372,-0.612425092409893,-1.5860031133901589,0.6261290613700058,0.4311127392714602,-1.1399350244303654,0.9194085751625732,-2.408948044761831,-0.5795002064277281,payment_failure_rate (z=-2.41),0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-05,False,False,False,False,False,Normal,Low,71,93088.8,91887.27,8444.29,47869.32,43550.46,374,1311.1098591549296,46.78378064815531,100.0,3.562962962962963,2.8169014084507045,11.267605633802818,18.30985915492958,-0.2514889016229958,-0.1418034212156033,-0.2939659879393791,-0.5254550464117721,-0.2685124506010268,0.2350564860278759,-0.3053965596721565,0.2268787043458617,0.4396369823745427,0.4311127392714602,-1.738281727910333,2.4303813655685538,1.185481693903497,1.556276655751922,negative_sentiment_rate (z=2.43),0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-06,False,False,False,False,False,Normal,Low,57,67772.5,67573.71,7486.24,32896.34,33596.26,308,1188.991228070175,49.57211258253717,100.0,3.7,0.0,8.771929824561402,7.017543859649122,-1.0105281319760366,-1.058091006232034,-0.8824778896660408,-0.5782841739437122,-0.9675827520152472,-1.0302076914888263,-0.7027276020386389,-0.6096496982141091,0.9212427977116668,0.4311127392714602,0.3817630283758521,-0.6353605280087982,0.3893470368745527,-1.346042779324201,,0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-07,False,False,False,False,False,Normal,Low,43,54015.93,53686.880000000005,6528.42,28208.87,24967.37,212,1256.1844186046512,46.222234811101096,100.0,3.5763157894736843,0.0,4.651162790697675,9.30232558139535,-1.7695673623290775,-1.5559905532989224,-1.218609856036036,-0.6311006187353648,-1.186435049004231,-2.1270136034387677,-1.2806636636626134,-0.1493676606460488,0.3426457535438135,0.4311127392714602,-1.5317055318852897,-0.6353605280087982,-0.9252008851964926,-0.7588145429055623,profit (z=-2.13),0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-08,False,False,False,False,False,Normal,Low,61,86334.73,86543.43000000001,9640.69,44534.15,40652.0,284,1415.3234426229508,47.0864969404549,100.0,3.692307692307693,0.0,8.19672131147541,8.19672131147541,-0.7936597804465965,-0.386257408936239,-0.423314114701688,-0.4594827399776476,-0.4242274984517328,-0.1333626343399146,-0.8472116174446326,0.9407552171201466,0.4919226966293974,0.4311127392714602,0.2627584370666558,-0.6353605280087982,0.2058522774229867,-1.0429738739360102,,0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-09,False,False,False,False,False,Normal,Low,73,98006.46,97355.07,9880.9,48333.89,48149.64,380,1342.5542465753426,49.12904720770447,100.0,3.628333333333333,0.0,5.47945205479452,10.95890410958904,-0.1430547258582756,0.036184310219555,-0.1616173982527581,-0.4462369963061823,-0.2468222399730821,0.8196517021126712,-0.2692755558206582,0.4422768212803611,0.844715732026692,0.4311127392714602,-0.7269630806549024,-0.6353605280087982,-0.6609719389725283,-0.3330453421362758,,0.0,0.0,0.0,0.0,0.0,0.0,None
2021-01-10,False,False,False,False,False,Normal,Low,60,93755.32,91724.75,7693.79,48825.01,43629.19,302,1562.5886666666668,46.535161951343134,98.33333333333331,3.716666666666667,0.0,10.0,6.666666666666667,-0.8478768683289565,-0.1176796748085393,-0.2978997991241098,-0.5668393793930581,-0.2238924420016326,0.2450637441396171,-0.7388486058901373,1.9495410307805272,0.3966951042179796,-2.5093469523610503,0.6396063095457921,-0.6353605280087982,0.781108348303647,-1.4362242584884914,repeat_customer_rate (z=-2.51),0.0,0.0,0.0,0.0,0.0,0.0,None
